has.passed,parent.batch.id,failure.reason.group
0,2363957,NO REASON GIVEN
1,2364056,NO REASON GIVEN
1,2364206,NO REASON GIVEN
1,2364578,NO REASON GIVEN
1,2364717,NO REASON GIVEN
1,2364791,NO REASON GIVEN
1,2365140,NO REASON GIVEN
1,2365150,NO REASON GIVEN
1,2365439,NO REASON GIVEN
1,2365444,NO REASON GIVEN
0,2365456,NO REASON GIVEN
1,2365523,NO REASON GIVEN
1,2365762,NO REASON GIVEN
0,2366077,NO REASON GIVEN
1,2366111,NO REASON GIVEN
0,2366126,NO REASON GIVEN
1,2366168,NO REASON GIVEN
1,2366204,NO REASON GIVEN
1,2366254,NO REASON GIVEN
1,2366330,NO REASON GIVEN
1,2366330,NO REASON GIVEN
1,2366346,NO REASON GIVEN
0,2366378,OPERATOR
0,2366392,UNKNOWN
1,2366481,NO REASON GIVEN
0,2366500,NO REASON GIVEN
0,2366673,NO REASON GIVEN
1,2366754,NO REASON GIVEN
0,2366810,NO REASON GIVEN
1,2366816,NO REASON GIVEN
1,2366855,NO REASON GIVEN
1,2366857,NO REASON GIVEN
0,2366861,NO REASON GIVEN
0,2366863,NO REASON GIVEN
0,2366927,NO REASON GIVEN
1,2366942,NO REASON GIVEN
1,2366948,NO REASON GIVEN
1,2366965,NO REASON GIVEN
1,2367001,NO REASON GIVEN
1,2367175,NO REASON GIVEN
0,2367215,NO REASON GIVEN
0,2367217,NO REASON GIVEN
0,2367283,NO REASON GIVEN
1,2367713,NO REASON GIVEN
1,2367736,NO REASON GIVEN
1,2367814,NO REASON GIVEN
1,2367872,NO REASON GIVEN
1,2367985,NO REASON GIVEN
1,2368048,NO REASON GIVEN
1,2368073,NO REASON GIVEN
1,2368108,NO REASON GIVEN
1,2368124,NO REASON GIVEN
0,2368245,NO REASON GIVEN
0,2368303,NO REASON GIVEN
0,2368505,NO REASON GIVEN
1,2368713,NO REASON GIVEN
1,2368718,NO REASON GIVEN
1,2368811,NO REASON GIVEN
0,2368832,NO REASON GIVEN
0,2368886,NO REASON GIVEN
1,2368976,NO REASON GIVEN
1,2368978,NO REASON GIVEN
0,2369115,NO REASON GIVEN
1,2369192,NO REASON GIVEN
1,2369621,NO REASON GIVEN
1,2369629,NO REASON GIVEN
1,2369668,NO REASON GIVEN
1,2369741,NO REASON GIVEN
0,2369825,NO REASON GIVEN
1,2369876,NO REASON GIVEN
1,2369876,NO REASON GIVEN
1,2369876,NO REASON GIVEN
0,2369887,NO REASON GIVEN
1,2370039,NO REASON GIVEN
0,2370061,NO REASON GIVEN
1,2370072,NO REASON GIVEN
1,2370212,NO REASON GIVEN
0,2370334,UNKNOWN
1,2370335,NO REASON GIVEN
1,2370353,NO REASON GIVEN
1,2370442,NO REASON GIVEN
1,2370464,NO REASON GIVEN
1,2370468,NO REASON GIVEN
0,2370502,NO REASON GIVEN
0,2370502,NO REASON GIVEN
0,2370514,NO REASON GIVEN
1,2370521,NO REASON GIVEN
1,2370553,NO REASON GIVEN
0,2370577,NO REASON GIVEN
1,2370588,NO REASON GIVEN
0,2370599,NO REASON GIVEN
1,2370616,NO REASON GIVEN
1,2370683,NO REASON GIVEN
0,2370694,NO REASON GIVEN
0,2370721,NO REASON GIVEN
1,2370722,NO REASON GIVEN
1,2370780,NO REASON GIVEN
1,2370809,NO REASON GIVEN
1,2370837,NO REASON GIVEN
1,2370846,NO REASON GIVEN
1,2372028,NO REASON GIVEN
0,2372032,NO REASON GIVEN
0,2372073,NO REASON GIVEN
1,2372118,NO REASON GIVEN
0,2372186,NO REASON GIVEN
1,2372256,NO REASON GIVEN
1,2372276,NO REASON GIVEN
0,2372332,NO REASON GIVEN
1,2372353,NO REASON GIVEN
1,2372417,NO REASON GIVEN
0,2372568,NO REASON GIVEN
0,2372570,NO REASON GIVEN
0,2372572,NO REASON GIVEN
1,2372601,NO REASON GIVEN
1,2372607,NO REASON GIVEN
0,2372766,NO REASON GIVEN
1,2372867,NO REASON GIVEN
0,2372923,NO REASON GIVEN
1,2372997,NO REASON GIVEN
1,2373034,NO REASON GIVEN
1,2373063,NO REASON GIVEN
0,2373239,UNKNOWN
0,2373365,NO REASON GIVEN
0,2373376,NO REASON GIVEN
1,2373394,NO REASON GIVEN
1,2373439,NO REASON GIVEN
0,2373716,NO REASON GIVEN
1,2373730,NO REASON GIVEN
1,2373789,NO REASON GIVEN
1,2373865,NO REASON GIVEN
0,2373951,NO REASON GIVEN
1,2374016,NO REASON GIVEN
1,2374051,NO REASON GIVEN
1,2374074,NO REASON GIVEN
1,2374262,NO REASON GIVEN
1,2374565,NO REASON GIVEN
0,2374586,NO REASON GIVEN
0,2374594,NO REASON GIVEN
0,2374598,NO REASON GIVEN
1,2374660,NO REASON GIVEN
0,2374692,NO REASON GIVEN
0,2374712,NO REASON GIVEN
1,2374848,NO REASON GIVEN
1,2374866,NO REASON GIVEN
1,2374882,NO REASON GIVEN
1,2374939,NO REASON GIVEN
1,2375279,NO REASON GIVEN
0,2375346,UNKNOWN
1,2375546,NO REASON GIVEN
0,2375623,UNKNOWN
0,2375858,NO REASON GIVEN
1,2376097,NO REASON GIVEN
1,2376101,NO REASON GIVEN
0,2376229,NO REASON GIVEN
1,2376776,NO REASON GIVEN
1,2376847,NO REASON GIVEN
1,2376851,NO REASON GIVEN
1,2376861,NO REASON GIVEN
1,2376877,NO REASON GIVEN
1,2376916,NO REASON GIVEN
1,2376934,NO REASON GIVEN
1,2377062,NO REASON GIVEN
0,2377063,UNKNOWN
1,2377319,NO REASON GIVEN
1,2377390,NO REASON GIVEN
1,2377390,NO REASON GIVEN
0,2377589,NO REASON GIVEN
0,2377614,NO REASON GIVEN
0,2377699,OPERATOR
0,2377717,NO REASON GIVEN
0,2377754,UNKNOWN
1,2377790,NO REASON GIVEN
1,2378995,NO REASON GIVEN
1,2379188,NO REASON GIVEN
1,2379216,NO REASON GIVEN
0,2379455,NO REASON GIVEN
1,2379515,NO REASON GIVEN
1,2379687,NO REASON GIVEN
1,2379705,NO REASON GIVEN
0,2380042,NO REASON GIVEN
1,2380113,NO REASON GIVEN
1,2380236,NO REASON GIVEN
0,2380272,NO REASON GIVEN
1,2380275,NO REASON GIVEN
1,2380313,NO REASON GIVEN
0,2380370,NO REASON GIVEN
1,2380413,NO REASON GIVEN
1,2380413,NO REASON GIVEN
1,2381036,NO REASON GIVEN
1,2381065,NO REASON GIVEN
